STYLE NO.,COLOR,BOXES NEEDED
E2360,PURPLE/PRINT,[397]
G1116,BLACK,[398]
G1116,PURPLE,[398]
G1116,TRUFFLE,[398]
570,GREEN,[398]
E1118,LILAC,[399]
E1326,NAVY,"[400, 802]"
E1264,NAVY,"[400, 517, 696]"
E1342,FUCHSIA,[401]
E2336,ROSE,[401]
E1412,BLACK,"[402, 759]"
E1412,ROYAL,"[787, 625, 403]"
E2496,PEACH,"[404, 566]"
E1796,NAVY,[405]
E2498,BLUSH,[407]
E1544,RED,"[428, 407]"
E1381,PURPLE,[408]
E1322,PURPLE,[409]
E1303,GREY,"[410, 802]"
E2568,AQUA,"[411, 749, 415]"
E1336,PURPLE,[413]
E2322,TEAL,[413]
E1336,LILAC,"[452, 414]"
E2128,CHAMPAGNE,[414]
E1467,GOLD,[415]
B8661,ORANGE,[416]
B8608,SKY BLUE,[416]
E2496,SKY BLUE,[417]
E1312,SUNSHINE,[419]
E1194,FUCHSIA,"[545, 818, 709]"
B8667,YELLOW,"[664, 419]"
E1260,PINK,"[419, 659]"
E1852,RED,[419]
E1295,TEAL,"[569, 595, 419, 499]"
B8865,IVORY,"[420, 822]"
B8865,WHITE,"[420, 605]"
E2495,PINK,"[421, 719]"
E1591,PURPLE,[422]
E2493,LAVENDER,[424]
B9000,BURGUNDY,[426]
E1696,CORAL,"[592, 747]"
E1729,FUCHSIA,"[824, 426, 581]"
B8588,PINK,[427]
E1270,POOL,"[736, 579, 630]"
E2039,POWDER BLUE,"[850, 427, 463]"
E1696,ROYAL,"[675, 789]"
E1295,TRUFFLE,"[458, 459, 453]"
E1774,POWDER BLUE,[427]
E24,,[]
E1312,CLARET,"[429, 614]"
E1891,PURPLE,[430]
E2060,MIDNIGHT,[608]
E1497,PURPLE,[430]
E1581,PURPLE,[432]
E1333,TEAL,[433]
E1340,PURPLE,[434]
E1340,APPLE RED,"[435, 676]"
E1340,POOL,"[435, 676]"
AA9256,WHITE,"[640, 457, 436]"
E1470,GOLD,[437]
E2708,NAVY,"[438, 439]"
AA9317,WHITE,"[580, 536, 780, 535, 440]"
AA9271,WHITE,"[441, 470, 825]"
AA9357,WHITE,[441]
AA9256,IVORY,"[483, 456, 479, 441, 767]"
AA9309,IVORY,"[578, 443, 564, 781]"
AA9318,IVORY,"[443, 652]"
AA9331,IVORY,[443]
B1259,WHITE,[443]
AA9346,IVORY,"[843, 444]"
AA9290,IVORY,[444]
AA9316,IVORY,"[444, 781, 502, 455]"
AA9316,WHITE,"[578, 838, 754, 564, 445, 542]"
AA9335,WHITE,[445]
AA9331,WHITE,"[600, 825, 446]"
E1340,WHITE,"[526, 527]"
E1265,GREEN,[452]
E1350,WHITE,[452]
E1013,TRUFFLE,"[537, 670]"
AA9310,IVORY,[470]
E1194,TEAL,"[493, 453]"
B8865,,[]
