STYLE NO.,COLOR,BOX NUMBER,SIZE_US
E2225,BLACK GREEN,190,14.0
E1657,BLACK,190,4.0
E2082,BLACK,190,4.0
AA9254,,191,8.0
AA9301,,191,6.0
AA9315,,191,4.0
AA9307,,192,8.0
AA9254,,192,6.0
E1412,BROWN,193,14.0
570,SAGE,193,14.0
E1672,SKY BLUE,193,12.0
E1412,BROWN,193,10.0
E2225,BLACK GREEN,194,14.0
E1420,CHAMPAGNE,194,12.0
E1379,TRUFFLE,194,10.0
E1420,CHAMPAGNE,194,4.0
AA9254,WHITE,195,10.0
AA9308,WHITE,195,4.0
E2543,BLACK,196,4.0
E1285,IVORY PRINT,197,10.0
E2553,,198,14.0
E2553,,198,10.0
E1520,BURNT ORANGE,198,8.0
,BURNT ORANGE,198,6.0
B2602,MINT,199,14.0
B2602,MINT,199,10.0
B2602,MINT,199,8.0
E1730,ORANGE,199,6.0
B2602,MINT,199,4.0
E1730,ORANGE,199,4.0
E2114,ROYAL BLUE,200,10.0
E2118,FUCHSIA,200,8.0
E2118,FUCHSIA,201,4.0
AA9259,,202,12.0
AA9315,,202,4.0
E1022,PURPLE,203,8.0
E2114,ROYAL BLUE,203,14.0
E2018,GREEN,203,4.0
E2602,MINT,204,12.0
E2126,BLACK,204,8.0
E2106,BABY BLUE,204,6.0
E1582,FUCHSIA,204,4.0
E2511,NAVY,204,4.0
E1605,PURPLE,204,4.0
E2126,BLACK,205,14.0
E2031,BLACK,205,12.0
E2082,BLACK,205,12.0
E2126,BLACK,205,12.0
E2708,BLACK,205,12.0
E1582,PURPLE,205,12.0
E2403,SILVER,205,12.0
E1507,WATERMELON,205,12.0
E1799,TEAL,205,4.0
E1796,BISCOTTI,206,8.0
E2428,NAVY,206,8.0
E2428,NAVY,206,6.0
E1796,BISCOTTI,206,4.0
E1391,ROYAL BLUE,206,4.0
E1013,SANGRIA,207,12.0
E1583,TEAL,207,10.0
E1657,TEAL,207,10.0
E1259,SKY BLUE,207,6.0
E1502,CLARET,207,4.0
E1259,SKY BLUE,207,4.0
AA9315,IVORY,208,6.0
E2233,GOLD,208,4.0
AA9315,WHITE,208,4.0
AA9315,WHITE,209,6.0
AA9315,WHITE,209,4.0
E2574,BLACK,210,8.0
E1391,PURPLE,210,8.0
E1546,BLACK,211,14.0
E2403,SILVER,211,10.0
E1573,BLACK,211,8.0
E2227,FUCHSIA,211,8.0
E2403,SILVER,211,8.0
E1546,BLACK,211,6.0
E2333,NAVY,211,6.0
AA219,WHITE,211,6.0
E1546,BLACK,211,4.0
E1520,BURNT ORANGE,212,14.0
E1520,BURNT ORANGE,212,12.0
E1520,BURNT ORANGE,212,10.0
E1520,BURNT ORANGE,212,8.0
E1520,BURNT ORANGE,212,4.0
E2034,BERRY,213,14.0
E2046,ROSE,213,12.0
E2772,ROYAL,213,12.0
E2046,ROSE,213,8.0
E2781,ROYAL,213,8.0
E2513,RED,213,4.0
E2781,ROYAL,213,4.0
AA9270,WHITE BURGUNDY,214,14.0
AA9270,WHITE NAVY,214,12.0
AA219,WHITE,214,6.0
AA9270,WHITE BURGUNDY,214,6.0
AA219,WHITE,214,4.0
E1463,CORAL,215,12.0
E2034,BERRY,215,10.0
E1463,CORAL,215,10.0
E1463,CORAL,215,8.0
AA9315,WHITE,216,8.0
AA9308,WHITE,216,6.0
AA9315,WHITE,217,10.0
AA9315,WHITE,217,10.0
570,PEACH,218,10.0
E2755,PEACH,218,14.0
E2755,PEACH,218,10.0
E2755,PEACH,218,6.0
570,LAVENDER,219,8.0
570,LAVENDER,219,12.0
570,LAVENDER,219,10.0
E1829,BLACK,219,8.0
E2553,RED,219,8.0
E2553,RED,219,6.0
E1838,TEAL,219,6.0
E2574,BLACK,219,4.0
E2360,PURPLE PRINT,219,4.0
E2509,RED,219,4.0
E1838,TEAL,219,4.0
E2317,NAVY,220,14.0
E1546,BLACK,220,10.0
E1546,BLACK,220,4.0
E2082,BLACK,220,4.0
E2574,BLACK,220,4.0
E2553,RED,221,14.0
E2708,BLACK,221,10.0
E2553,RED,221,6.0
E1696,BLACK,221,4.0
E2574,BLACK,222,12.0
