BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,SIZE_US,QUANTITY,BOX LOCATION,CATEGORIES,SKU,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,Florida_count,Handle
21,E2101,MILANO FORMALS,WINE,16,16,2,3033,Gala/ pageant,E2101_WINE_16,,,,,,,NV7898
21,B8808,MILANO FORMALS,IVORY/NAVY,L,12,2,3033,#N/A,B8808_IVORY/NAVY_12,,,,,,,AT1191
21,B8808,MILANO FORMALS,IVORY/NAVY,XL,14,2,3033,#N/A,B8808_IVORY/NAVY_14,,,,,,,AT1191
21,E2101,MILANO FORMALS,WINE,12,12,3,3033,Gala/ pageant,E2101_WINE_12,,,,,,,NV7898
21,E2101,MILANO FORMALS,WINE,18,18,3,3033,Gala/ pageant,E2101_WINE_18,,,,,,,NV7898
21,B8808,MILANO FORMALS,IVORY/NAVY,S,8,3,3033,#N/A,B8808_IVORY/NAVY_8,,,,,,,AT1191
22,F570,MILANO FORMALS,BANANA YELLOW,3XL,22,1,3033,#N/A,F570_BANANA YELLOW_22,,,,,,,B429
22,F570,MILANO FORMALS,BANANA YELLOW,8XL,40,4,3033,#N/A,F570_BANANA YELLOW_40,,,,,,,B429
22,F570,MILANO FORMALS,BANANA YELLOW,4XL,26,13,3033,#N/A,F570_BANANA YELLOW_26,,,,,,,B429
22,F570,MILANO FORMALS,BANANA YELLOW,5XL,30,45,3033,#N/A,F570_BANANA YELLOW_30,,,,,,,B429
23,E2544,MILANO FORMALS,RED,4,4,1,3033,Embellished,E2544_RED_4,,,,,,,NV7455
23,E2602,MILANO FORMALS,BLACK,6,6,1,3033,#N/A,E2602_BLACK_6,,,,,,,NV7397
23,E1379,MILANO FORMALS,PEACOCK,8,8,1,3033,Bridesmaid,E1379_PEACOCK_8,,,,,,,NV8620
23,E1260,MILANO FORMALS,JADE,M,10,1,3033,Elegant Evening,E1260_JADE_10,,,,,,,NV8739
23,F570,MILANO FORMALS,PERIWINKLE,M,10,1,3033,#N/A,F570_PERIWINKLE_10,,,,,,,B429
23,F570,MILANO FORMALS,NAVY,8XL,40,1,3033,#N/A,F570_NAVY_40,,,,,,,B429
23,E1379,MILANO FORMALS,TRUFFLE,4,4,2,3033,Bridesmaid,E1379_TRUFFLE_4,,,,,,,NV8620
