Code,Sum of QUANTITY,Consumer Price,PlusSize Price,WholeSale Price,Wholesale Plus Price,Description
E2449,13,299,329,,,"Capture the intrigue of the upscale crowd in this stunningly designed Milano Formals E2449 creation. Sleekly tailored with seams on a sculpted bodice, this stunner showcases a deep v-neckline framed with ornate spaghetti straps. Crafted with a mid-open treatment, beaded straps crisscross along the back as the slender waistband mimics its sparkling iridescence. The ballgown skirt cascades in a full-length volume as beautiful blossoms ornate its sheer organza overlay."
E1745,12,225,285,,,This is a strapless gown by Milano Formals E1745 decorated with colorful gems on the bodice. This mid-length dress has a bandeau shape with cascading layers of loose fabric
B8896,12,,,,,
AA9312,12,,,,,
E2162,12,199,229,,,�Features a bateau neckline with cap sleeves and princess seams in the bodice. The A-line skirt is styled with multi-colored floral prints and side pockets.
AA9331,12,,,,,
E2082,12,189,219,,,Embody a Grecian goddess with this Milano Formals E2082 evening gown. This astounding number features a simple yet classy high halter neckline and a closed back. The subtle pleating found all throughout this creation gives the illusion of proportion and length to any body type. Its sheath silhouette ends with a sweep of soft tra
E2034,12,249,279,,,Look stunning in this vogue cocktail dress by Milano Formals E2034. The dress features a sleeveless crop top with high neckline and a sheer fabric over the sweetheart liner. The fitted bodice is richly decorated in bead embellishments with an open back centered closure. The skirt is highlighted by bead ornate around the band and tapers through the thighs for that figure flatting silhouette. T
E2498,12,,,,,
E2067,12,249,279,,,"Strut your way to the top with this dazzling Milano Formals E2067 cocktail dress. Its luscious bodice is beautifully encrusted with an exquisite geometric interplay of lustrous black beads. Its charming bodice showcases a delicate sweetheart neckline and corset-laced open back detail. To top it all off, this charming dress displays a floral print organza fabric over a fabulously pleated flare skirt"
E2551,11,,,,,
E1524,11,,,,,
E1467,11,,,,,
E2775,11,269,299,,,"Shine through the night in this mesmerizing Milano Formals E2251 short dress will. This dress brandishes in a sleeveless, illusion jewel neckline with bodice heavily decorated with glittering patterned beadwork. The bodice has a figure flattering silhouette that leads to the sheath skirt.�"
E2251,11,,,,,
E2244,11,189,219,,,Make your grand entrance in this dress by Milano Formals E2244.This lightweight velvet dress will flatter any figure with its lovely embroidered skirt design. The deep v-neckline bust is designed with a daring fashion going all the way to its back with a skin revealing detail.
AA9314,11,,,,,
E1795,11,,,,,
E1265,11,,,,,
E2532,11,,,,,
BD2006/183,11,,,,,
E1983,11,,,,,
E2049,11,,,,,
E1326,11,,,,,
BD2007/417,11,,,,,
B8660,10,,,,,
E2324,10,,,,,
E2327,10,,,,,
E1018,10,,,,,
E1685,10,,,,,
E2615,10,,,,,
E2573,10,,,,,
E1278,10,,,,,
E2754,10,,,,,
E2144,10,,,,,
E2785,9,,,,,
E2436,9,,,,,
E2076,9,,,,,
E2589,9,,,,,
E2570,9,,,,,
E2787,9,,,,,
E1879,9,,,,,
E2165,9,,,,,
E2041,9,,,,,
E2329,9,,,,,
E2282,9,,,,,
E2269,9,,,,,
E1988,9,,,,,
E2753,9,,,,,
E1552,9,,,,,
E1378,9,,,,,
E2335,9,,,,,
E1438,9,,,,,
E2426,9,,,,,
B8716,8,,,,,
E2275,8,,,,,
E2104,8,,,,,
E1294,8,,,,,
E1336,8,,,,,
E1579,8,,,,,
E1596,8,,,,,
E2031,8,,,,,
E2430,8,,,,,
