STYLE NO.,COLOR,SIZE,BRAND NAME,QUANTITY
E1032,SUNSHINE,L,,3.0
E1032,SUNSHINE,M,,12.0
E1032,SUNSHINE,S,,17.0
E1032,SUNSHINE,XL,,5.0
E1068,BURGUNDY,5,,3.0
E1068,BURGUNDY,L,,4.0
E1068,BURGUNDY,M,,6.0
E1068,BURGUNDY,S,,8.0
E1068,BURGUNDY,XL,,5.0
E1068,KIWI,2XL,,4.0
E1068,KIWI,3XL,,7.0
E1068,KIWI,L,,1.0
E1068,KIWI,M,,8.0
E1068,KIWI,S,,3.0
E1068,KIWI,XL,,5.0
E1068,VICTORIA LILAC,M,,4.0
E1068,VICTORIA LILAC,S,,3.0
E1116,NAVY,8XL,,1.0
E1116,RED,6XL,,10.0
E1116,RED,7XL,,19.0
E1116,RED,8XL,,3.0
E1116,SKY BLUE,6XL,,11.0
E1116,SKY BLUE,7XL,,5.0
E1116,SKY BLUE,8XL,,6.0
E1119,BURGUNDY,3XL,,7.0
E1119,BURGUNDY,4,,1.0
E1119,BURGUNDY,4XL,,6.0
E1119,BURGUNDY,5XL,,4.0
E1119,BURGUNDY,8,,1.0
E1119,BURGUNDY,M,,3.0
E1119,BURGUNDY,S,,9.0
E1119,CHAMPAGNE,4XL,,6.0
E1119,CHAMPAGNE,5XL,,5.0
E1119,CHAMPAGNE,M,,2.0
E1119,CHAMPAGNE,S,,2.0
E1119,VICTORIA LILAC,12,,1.0
E1119,VICTORIA LILAC,2XL,,5.0
E1119,VICTORIA LILAC,4XL,,8.0
E1119,VICTORIA LILAC,5XL,,8.0
E1119,VICTORIA LILAC,8,,2.0
E1119,VICTORIA LILAC,L,,4.0
E1119,VICTORIA LILAC,M,,7.0
E1119,VICTORIA LILAC,S,,13.0
E1119,VICTORIA LILAC,XL,,7.0
E1168,BURGUNDY,10,,3.0
E1168,BURGUNDY,6,,1.0
E1168,BURGUNDY,8,,5.0
E1168,LILAC,20,,1.0
E1168,LILAC,26,,3.0
E1168,LILAC,30,,3.0
E1168,LILAC,6,,1.0
E1168,NAVY,16,,1.0
E1168,RED,L,,1.0
E1168,SAGE,10,,3.0
E1168,SAGE,12,,13.0
E1168,SAGE,16,,7.0
E1168,SAGE,20,,5.0
E1168,SAGE,24,,7.0
E1168,SAGE,26,,3.0
E1168,SAGE,30,,3.0
E1168,SAGE,4,,9.0
E1168,SAGE,6,,7.0
E1168,SAGE,8,,14.0
E1168,TEAL,10,,9.0
E1168,TEAL,12,,3.0
E1168,TEAL,14,,1.0
E1168,TEAL,16,,8.0
E1168,TEAL,20,,6.0
E1168,TEAL,24,,1.0
E1168,TEAL,2XL,,1.0
E1168,TEAL,4,,13.0
E1168,TEAL,6,,4.0
E1168,TEAL,8,,8.0
E1168,TEAL,S,,2.0
E1168,TRUFFLE,12,,1.0
E1168,TRUFFLE,16,,1.0
E1168,TRUFFLE,20,,1.0
E1168,TRUFFLE,2XL,,2.0
