BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,QUANTITY,SKU,BOX LOCATION,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,13672,SIZE_US
27,570,MILANO,PEACH,M,3,,3033,,,,,,,10
28,G1116,MILANO FORMALS,BURGUNDY,S,7,,3033,,,,,,,8
28,1116,,CORAL,8XL,3,,3033,,,,,,,40
28,G1116,MILANO FORMALS,LAVENDER,6XL,18,,3033,,,,,,,34
28,E2560,,NAVY,14,3,,3033,,,,,,,14
28,E2560,,NAVY,10,4,,3033,,,,,,,10
28,E2560,,NAVY,6,2,,3033,,,,,,,6
28,E2532,,PRINT,2,4,,3033,,,,,,,2
29,B8808,,IVORY/NAVY,S,1,,3033,,,,,,,8
29,BD2001744,,BROWN,L,1,,3033,,,,,,,12
29,570,MILANO,NAVY,M,1,,3033,,,,,,,10
29,E1984,,,18,2,,3033,,,,,,,18
29,E2101,,WINE,14,1,,3033,,,,,,,14
29,E1984,,,14,1,,3033,,,,,,,14
29,E1984,,,10,1,,3033,,,,,,,10
29,E1657,,BLACK,8,3,,3033,,,,,,,8
29,E2225,,BLACK / GREEN,6,2,,3033,,,,,,,6
29,E1984,,,6,1,,3033,,,,,,,6
29,E1244,,BLACK,2,1,,3033,,,,,,,2
29,E2560,,NAVY,2,1,,3033,,,,,,,2
30,570,MILANO,PERRI,S,14,,3033,,,,,,,8
30,570,MILANO,PERRI,5XL,23,,3033,,,,,,,30
30,570,MILANO,PERRI,4XL,6,,3033,,,,,,,26
30,570,MILANO,PERRI,3XL,1,,3033,,,,,,,22
30,570,MILANO,PERRI,2XL,1,,3033,,,,,,,18
30,570,MILANO,PERRI,XL,2,,3033,,,,,,,14
30,570,MILANO,PERRI,L,5,,3033,,,,,,,12
30,570,MILANO,PERRI,M,3,,3033,,,,,,,10
31,AA9307,ANDY ANAND,,12,1,,3033,,,,,,,12
31,AA9308,ANDY ANAND,,10,1,,3033,,,,,,,10
33,E1013,,SUNSHINE,22,2,,3033,,,,,,,22
33,E1799,,TEAL,16,1,,3033,,,,,,,16
33,E1013,,SUNSHINE,14,3,,3033,,,,,,,14
33,E1799,,TEAL,10,1,,3033,,,,,,,10
33,E1696,,BLACK,6,1,,3033,,,,,,,6
33,E1696,,BLACK,4,4,,3033,,,,,,,4
33,E1799,,TEAL,4,2,,3033,,,,,,,4
34,570,MILANO,FUCHSIA,8XL,9,,3033,,,,,,,40
34,570,MILANO,FUCHSIA,7XL,19,,3033,,,,,,,38
34,570,MILANO,FUCHSIA,6XL,10,,3033,,,,,,,34
34,570,MILANO,FUCHSIA,5XL,14,,3033,,,,,,,30
35,E1520,,SANGRIA,24,1,,3033,,,,,,,24
35,E1520,,SANGRIA,22,6,,3033,,,,,,,22
35,E1520,,SANGRIA,14,1,,3033,,,,,,,14
35,E1745,,TURQUOISE GREEN,10,5,,3033,,,,,,,10
35,E1270,,FUCHSIA,8,5,,3033,,,,,,,8
35,E1270,,FUCHSIA,6,6,,3033,,,,,,,6
36,1116,,CORAL,8XL,8,,3033,,,,,,,40
36,1116,,CORAL,7XL,10,,3033,,,,,,,38
36,1116,,BANANA,6XL,4,,3033,,,,,,,34
36,1116,,CORAL,6XL,6,,3033,,,,,,,34
36,1116,,BANANA,5XL,2,,3033,,,,,,,30
36,1116,,CORAL,5XL,2,,3033,,,,,,,30
37,570,MILANO,PINK,8XL,3,,3033,,,,,,,40
37,BZ570,MILANO,PINK,8XL,5,,3033,,,,,,,40
37,570,MILANO,PINK,7XL,3,,3033,,,,,,,38
37,BZ570,MILANO,PINK,7XL,5,,3033,,,,,,,38
37,570,MILANO,PINK,6XL,7,,3033,,,,,,,34
37,BZ570,MILANO,PINK,6XL,4,,3033,,,,,,,34
37,570,MILANO,PINK,5XL,19,,3033,,,,,,,30
37,BZ570,MILANO,PINK,5XL,3,,3033,,,,,,,30
37,BZ570,MILANO,PINK,3XL,3,,3033,,,,,,,22
38,AA9309,ANDY ANAND,,12,1,,3033,,649,,,,,12
38,AA9306,ANDY ANAND,CHAMPAGNE/IVORY,6,1,,3033,,389,,,,,6
38,AA9308,ANDY ANAND,,4,1,,3033,,529,,,,,4
38,AA9315,ANDY ANAND,,4,1,,3033,,699,,,,,4
39,AA9307,ANDY ANAND,,12,1,,3033,,,,,,,12
39,AA9315,ANDY ANAND,,6,1,,3033,,699,,,,,6
39,AA9308,ANDY ANAND,,4,1,,3033,,529,,,,,4
39,AA9313,ANDY ANAND,,4,1,,3033,,459,,,,,4
39,AA9326,ANDY ANAND,,4,1,,3033,,499,,,,,4
40,570,MILANO,SKY BLUE,6XL,15,,3033,,,,,,,34
40,570,MILANO,SKY BLUE,5XL,41,,3033,,,,,,,30
40,570,MILANO,SKY BLUE,4XL,3,,3033,,,,,,,26
41,E1730,,BURNTORE,24,1,,3033,,,,,,,24
41,E1730,,BURNTORE,20,3,,3033,,,,,,,20
41,E1730,,BURNTORE,12,1,,3033,,,,,,,12
41,E1730,,BURNTORE,10,3,,3033,,,,,,,10
41,E1730,,BURNTORE,6,1,,3033,,,,,,,6
42,E1421,,GREY,24,1,,3033,,,,,,,24
42,E1421,,GREY,24,1,,3033,,,,,,,24
42,E1421,,SILVER,22,1,,3033,,,,,,,22
42,E1168,,LILAC,20,1,,3033,,,,,,,20
42,E1656,,LAVENDER,18,1,,3033,,,,,,,18
42,E1285,MILANO FORMALS,LILAC,18,1,,3033,,,,,,,18
42,4386,,BLACK,16,3,,3033,,,,,,,16
42,B8486,,BLACK,16,1,,3033,,,,,,,16
42,E2301,,BLACK,16,2,,3033,,,,,,,16
42,E2100,,MIDNIGHT,16,1,,3033,,,,,,,16
42,E1421,,SILVER,14,1,,3033,,,,,,,14
42,A1054,,IVORY,12,1,,3033,,,,,,,12
42,E1421,,GREY,10,1,,3033,,,,,,,10
42,E1421,,GREY,10,1,,3033,,,,,,,10
42,E1421,,SILVER,8,1,,3033,,,,,,,8
42,G1116,MILANO FORMALS,IVORY,4,3,,3033,,,,,,,4
42,E1421,,GREY,2,1,,3033,,,,,,,2
42,E1799,,GREY,2,1,,3033,,,,,,,2
42,G1116,MILANO FORMALS,IVORY,2,4,,3033,,,,,,,2
42,570,MILANO,SILVER,2,2,,3033,,,,,,,2
42,G1116,MILANO FORMALS,SILVER,2,4,,3033,,,,,,,2
42,B8998,,WHITE,2,1,,3033,,,,,,,2
43,B8808,,IVORY/NAVY,S,1,,3033,,,,,,,8
43,E1260,,TRUFFLE,S,1,,3033,,,,,,,8
43,1116,,BANANA,8XL,1,,3033,,,,,,,40
43,1116,,BANANA,7XL,1,,3033,,,,,,,38
43,570,MILANO,ROYAL BLUE,6XL,1,,3033,,,,,,,34
43,G1116,MILANO FORMALS,LILAC,22,1,,3033,,,,,,,22
43,E2253,MILANO FORMALS,RED,16,1,,3033,,,,,,,16
43,E1264,,BLACK,4,1,,3033,,,,,,,4
43,E1890,,BLACK,4,1,,3033,,,,,,,4
43,E2543,,BLACK,4,1,,3033,,,,,,,4
43,E1581,,RED,4,4,,3033,,,,,,,4
43,570,MILANO,BLACK,2,1,,3033,,,,,,,2
43,E1581,,RED,2,1,,3033,,,,,,,2
43,E2253,MILANO FORMALS,PRINT,0,1,,3033,,,,,,,0
44,E1264,,BLACK,7XL,1,,3033,,,,,,,38
44,E1264,,BLACK,34,1,,3033,,,,,,,34
44,E1264,,BLACK,24,1,,3033,,,,,,,24
44,E1908,,SKY BLUE,14,2,,3033,,,,,,,14
44,E1893,,BLACK,10,5,,3033,,,,,,,10
44,E1502,,NAVY,10,4,,3033,,,,,,,10
44,E1908,,SKY BLUE,6,4,,3033,,,,,,,6
44,E1502,,NAVY,4,5,,3033,,,,,,,4
44,E1795,,NAVY,4,4,,3033,,,,,,,4
44,E1908,,SKY BLUE,2,1,,3033,,,,,,,2
45,E1838,,TEAL,28,1,,3033,,,,,,,28
45,E1663,,FUCHSIA,22,2,,3033,,,,,,,22
45,E1663,,FUCHSIA,18,1,,3033,,,,,,,18
45,E1663,,FUCHSIA,14,2,,3033,,,,,,,14
45,E1463,,TEAL,12,2,,3033,,,,,,,12
45,E1663,,FUCHSIA,10,4,,3033,,,,,,,10
45,E1463,,TEAL,10,2,,3033,,,,,,,10
45,E1663,,FUCHSIA,8,1,,3033,,,,,,,8
45,E1463,,TEAL,8,2,,3033,,,,,,,8
45,E1838,,TEAL,4,7,,3033,,,,,,,4
46,E1730,,BURNT ORANGE,30,1,,3033,,,,,,,30
46,E1730,,BURNT ORANGE,22,2,,3033,,,,,,,22
46,E1730,,CHARCOAL,12,5,,3033,,,,,,,12
46,E1730,,CHARCOAL,8,1,,3033,,,,,,,8
46,E1730,,BURNT ORANGE,4,2,,3033,,,,,,,4
46,E1431,,CORAL,4,1,,3033,,,,,,,4
46,E1730,,BURNT ORANGE,0,2,,3033,,,,,,,0
47,E2171,,SKY BLUE,6,1,,3033,,,,,,,6
47,E2171,,SKY BLUE,2,2,,3033,,,,,,,2
48,570,,PERRI,S,4,,3033,,,,,,,8
48,570,,CORAL,8XL,1,,3033,,,,,,,40
48,570,,CORAL,7XL,3,,3033,,,,,,,38
48,570,,LILAC,7XL,2,,3033,,,,,,,38
48,570,,CORAL,6XL,3,,3033,,,,,,,34
48,570,,IVORY,6XL,3,,3033,,,,,,,34
48,570,,LILAC,6XL,3,,3033,,,,,,,34
48,570,,CORAL,5XL,1,,3033,,,,,,,30
48,570,,IVORY,5XL,9,,3033,,,,,,,30
48,570,,CORAL,4XL,1,,3033,,,,,,,26
48,570,,PERRI,4XL,5,,3033,,,,,,,26
48,BZ570,,SKY BLUE,4XL,2,,3033,,,,,,,26
48,570,,PERRI,XL,1,,3033,,,,,,,14
48,570,,PERRI,L,6,,3033,,,,,,,12
48,570,,PERRI,M,3,,3033,,,,,,,10
48,BZ570,,SKY BLUE,M,1,,3033,,,,,,,10
48,BZ570,,IVORY,26,1,,3033,,,,,,,26
49,570,,PINK,8XL,4,,3033,,,,,,,40
49,570,,PINK,7XL,10,,3033,,,,,,,38
49,570,,PINK,6XL,16,,3033,,,,,,,34
49,570,,PINK,5XL,12,,3033,,,,,,,30
49,570,,PINK,4XL,1,,3033,,,,,,,26
49,570,,PINK,3XL,11,,3033,,,,,,,22
50,1116,,SILVER,S,5,,3033,,,,,,,8
50,E1347,,,S,1,,3033,,,,,,,8
50,1116,,SILVER,8XL,1,,3033,,,,,,,40
50,1116,,SILVER,7XL,2,,3033,,,,,,,38
50,E1421,,GREY,24,2,,3033,,,,,,,24
50,E1421,,GREY,16,2,,3033,,,,,,,16
50,E1421,,GREY,12,4,,3033,,,,,,,12
50,E1264,,BLACK,4,2,,3033,,,,,,,4
50,E1264,,BLACK,4,1,,3033,,,,,,,4
50,E1672,,BLUE,4,1,,3033,,,,,,,4
50,E1981,,BLACK,2,1,,3033,,,,,,,2
50,E2225,,BLACK,2,1,,3033,,,,,,,2
50,E2543,,BLACK,2,2,,3033,,,,,,,2
50,E1672,,BLUE,2,1,,3033,,,,,,,2
50,E2076,,MIDNIGHT,2,1,,3033,,,,,,,2
50,E1946,,NAVY,2,2,,3033,,,,,,,2
50,E1391,,PURPLE,2,1,,3033,,,,,,,2
50,E2252,,PURPLE,2,1,,3033,,,,,,,2
51,B8808,,IVORY,S,14,,3033,,,,,,,8
51,B8808,,IVORY/BLACK,S,1,,3033,,,,,,,8
51,BD2006/741,,,S,1,,3033,,,,,,,8
51,BD2006/741,,,L,2,,3033,,,,,,,12
51,BD2006/741,,,M,8,,3033,,,,,,,10
52,BZ570,,PURPLE,24,22,,3033,,,,,,,24
52,BZ570,,PURPLE,20,2,,3033,,,,,,,20
52,E1420,,PURPLE,8,1,,3033,,,,,,,8
